source,celltype,gene_id,gene_symbol,gene_symbol_canonical,log2_fold_change,bootstrap_ci_low,bootstrap_ci_high,stratified_permutation_p,n_SLE,n_HC,bootstraps,permutations,seed
generated,T cell,ENSG00000019582,CD74,CD74,0.5999033323294198,0.41053891360182987,0.7896233864669742,0.001,30,12,1000,999,20260917
generated,T cell,ENSG00000134326,CMPK2,CMPK2,1.7670365953062719,1.1417678195403933,2.279494479578307,0.002,30,12,1000,999,20260917
generated,T cell,ENSG00000137200,CMTR1,CMTR1,0.0,0.0,0.0,1.0,30,12,1000,999,20260917
generated,T cell,ENSG00000184371,CSF1,CSF1,0.0,0.0,0.0,1.0,30,12,1000,999,20260917
generated,T cell,ENSG00000169245,CXCL10,CXCL10,0.0,0.0,0.0,1.0,30,12,1000,999,20260917
generated,T cell,ENSG00000169248,CXCL11,CXCL11,0.0,0.0,0.0,1.0,30,12,1000,999,20260917
generated,T cell,ENSG00000137628,DDX60,DDX60,2.320892052400008,1.5600076247675438,3.0184845087879983,0.001,30,12,1000,999,20260917
generated,T cell,ENSG00000055332,EIF2AK2,EIF2AK2,0.9398072613397473,0.6864176145028814,1.1806748751884695,0.001,30,12,1000,999,20260917
generated,T cell,ENSG00000133106,EPSTI1,EPSTI1,2.078261316415431,1.49239834796353,2.616483095680686,0.001,30,12,1000,999,20260917
generated,T cell,ENSG00000112773,FAM46A,TENT5A,-0.022024964542135646,-0.06509112124786869,0.0,0.456,30,12,1000,999,20260917
generated,T cell,ENSG00000162645,GBP2,GBP2,0.5605233829911932,0.3870841006594794,0.7262702167436973,0.001,30,12,1000,999,20260917
generated,T cell,ENSG00000162654,GBP4,GBP4,0.6019595065431574,0.3581990568004495,0.8169902751749056,0.008,30,12,1000,999,20260917
generated,T cell,ENSG00000137198,GMPR,GMPR,0.04121685363560509,0.0,0.12027773583841762,1.0,30,12,1000,999,20260917
generated,T cell,ENSG00000130589,HELZ2,HELZ2,0.4420672894853605,0.16061827261062703,0.7311780095494866,0.087,30,12,1000,999,20260917
generated,T cell,ENSG00000138642,HERC6,HERC6,1.584510673647489,0.8981783522803133,2.1602946153116522,0.011,30,12,1000,999,20260917
generated,T cell,ENSG00000165949,IFI27,IFI27,1.775834724977555,1.1197230171571104,2.3332838290848827,0.004,30,12,1000,999,20260917
generated,T cell,ENSG00000216490,IFI30,IFI30,0.06786843950988959,-0.11334024488445603,0.2542285260903715,0.619,30,12,1000,999,20260917
generated,T cell,ENSG00000068079,IFI35,IFI35,1.765501685652077,1.224083891050533,2.241474452921059,0.001,30,12,1000,999,20260917
generated,T cell,ENSG00000137965,IFI44,IFI44,2.572621114967313,1.8803041600819563,3.2213507240821397,0.001,30,12,1000,999,20260917
generated,T cell,ENSG00000137959,IFI44L,IFI44L,2.6578834104898674,2.0638174114198424,3.2320819528766203,0.001,30,12,1000,999,20260917
generated,T cell,ENSG00000115267,IFIH1,IFIH1,0.4941713907387517,0.12736867631625579,0.8562292269896038,0.119,30,12,1000,999,20260917
generated,T cell,ENSG00000119922,IFIT2,IFIT2,1.3114735633624397,0.5722745206268784,1.8892162687004448,0.039,30,12,1000,999,20260917
generated,T cell,ENSG00000119917,IFIT3,IFIT3,3.128700826252608,2.3087565066977795,3.806863633416958,0.001,30,12,1000,999,20260917
generated,T cell,ENSG00000185885,IFITM1,IFITM1,0.014366344397590382,-0.14747265179579788,0.16847765138623216,0.902,30,12,1000,999,20260917
generated,T cell,ENSG00000185201,IFITM2,IFITM2,0.27374849953623576,0.13597676033532466,0.3983569335487563,0.02,30,12,1000,999,20260917
generated,T cell,ENSG00000142089,IFITM3,IFITM3,1.502496908060509,1.099356207733784,1.8481144851807014,0.001,30,12,1000,999,20260917
generated,T cell,ENSG00000164136,IL15,IL15,0.0,0.0,0.0,1.0,30,12,1000,999,20260917
generated,T cell,ENSG00000077238,IL4R,IL4R,-0.1140790211741982,-0.2306392526372181,0.01914343766011811,0.083,30,12,1000,999,20260917
generated,T cell,ENSG00000104432,IL7,IL7,0.0,0.0,0.0,1.0,30,12,1000,999,20260917
generated,T cell,ENSG00000185507,IRF7,IRF7,1.3289648129595062,0.9337269591798458,1.6965926893686212,0.001,30,12,1000,999,20260917
generated,T cell,ENSG00000187608,ISG15,ISG15,1.1983161697119284,0.9025549504847936,1.503135079362514,0.001,30,12,1000,999,20260917
generated,T cell,ENSG00000172183,ISG20,ISG20,0.38332632440437375,0.26657343988419113,0.5022693535682701,0.001,30,12,1000,999,20260917
generated,T cell,ENSG00000078081,LAMP3,LAMP3,0.047294583036756724,0.006471475185814766,0.08856174464271468,0.366,30,12,1000,999,20260917
generated,T cell,ENSG00000002549,LAP3,LAP3,0.8683701505410514,0.5957388871741107,1.1268639869930483,0.001,30,12,1000,999,20260917
generated,T cell,ENSG00000139679,LPAR6,LPAR6,0.33914606222861227,0.08342389831540467,0.6032953075243409,0.066,30,12,1000,999,20260917
generated,T cell,ENSG00000155363,MOV10,MOV10,0.0,0.0,0.0,1.0,30,12,1000,999,20260917
generated,T cell,ENSG00000157601,MX1,MX1,1.4454167909570566,1.0121242474050296,1.8232360264106737,0.001,30,12,1000,999,20260917
generated,T cell,ENSG00000089127,OAS1,OAS1,2.9639731366012656,2.251591843988398,3.5704907551549225,0.001,30,12,1000,999,20260917
generated,T cell,ENSG00000135114,OASL,OASL,2.5393554034984795,1.7365945054311833,3.159524874614121,0.001,30,12,1000,999,20260917
generated,T cell,ENSG00000059378,PARP12,PARP12,0.9673938894112972,0.46643404850584197,1.3962708698407997,0.014,30,12,1000,999,20260917
generated,T cell,ENSG00000173193,PARP14,PARP14,0.853735018370824,0.5661899358727837,1.1218499901973626,0.002,30,12,1000,999,20260917
generated,T cell,ENSG00000138496,PARP9,PARP9,1.0706057009041736,0.688134928084648,1.407502886483667,0.005,30,12,1000,999,20260917
generated,T cell,ENSG00000188313,PLSCR1,PLSCR1,1.5432243414588778,1.0662912791461903,1.9821025813350448,0.001,30,12,1000,999,20260917
generated,T cell,ENSG00000138035,PNPT1,PNPT1,0.6888110908541675,0.3508131585113214,1.037144707761321,0.017,30,12,1000,999,20260917
generated,T cell,ENSG00000104312,RIPK2,RIPK2,0.1639422776432716,-0.057823197667579394,0.38044162983421426,0.226,30,12,1000,999,20260917
generated,T cell,ENSG00000092098,RNF31,RNF31,0.0,0.0,0.0,1.0,30,12,1000,999,20260917
generated,T cell,ENSG00000134321,RSAD2,RSAD2,1.896468282124209,1.1442080953410325,2.5158563023763767,0.007,30,12,1000,999,20260917
generated,T cell,ENSG00000205413,SAMD9,SAMD9,0.7185828404450619,0.5130193764467563,0.9133800862317224,0.001,30,12,1000,999,20260917
generated,T cell,ENSG00000177409,SAMD9L,SAMD9L,1.3584999932078021,0.8929345148344201,1.7650165320544215,0.001,30,12,1000,999,20260917
generated,T cell,ENSG00000188404,SELL,SELL,0.1426365384361626,0.04844644534918768,0.23450302060671316,0.037,30,12,1000,999,20260917
